Original Name,Metallo Name,AWS Classification,Category,URL
"Metalshield® Z","Metallo CoreMax Z","E70C-GS","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldz_mcaw"
"Metalshield® MC-6®","Metallo CoreMax MC-6","E70C-6M H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc6_mcaw"
"Metalshield® MC-710XL®","Metallo CoreMax MC-710XL","E70C-6M-H8","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc710xl_mcaw"
"Lincore® 96-S","Metallo CoreMax 96-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore96s_saw"
"Lincore® 8620","Metallo CoreMax 8620","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore8620_saw"
"Lincore® 42-S","Metallo CoreMax 42-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore42s_saw"
"Lincore® 423L","Metallo CoreMax 423L","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore423l_saw"
"Lincore® 423Cr","Metallo CoreMax 423Cr","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore423cr_saw"
"Lincore® 420HC-S","Metallo CoreMax 420HC-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore420hcs_saw"
"Lincore® 420","Metallo CoreMax 420","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore420_saw"
"Lincore® 410NiMo","Metallo CoreMax 410NiMo","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore410nimo_saw"
"Lincore® 410","Metallo CoreMax 410","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore410_saw"
"Lincore® 40-S","Metallo CoreMax 40-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore40s_saw"
"Lincore® 35-S","Metallo CoreMax 35-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore35s_saw"
"Lincore® 102W","Metallo CoreMax 102W","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore102w_saw"
"Lincore® 102HC","Metallo CoreMax 102HC","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore102hc_saw"
"Lincore® 423Cr-S","Metallo CoreMax 423Cr-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore423crs_saw"
"Lincore® 420-S","Metallo CoreMax 420-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore420s_saw"
"Lincore® 32-S","Metallo CoreMax 32-S","","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/lincore32s_saw"
"Innershield® NR®-232","Metallo ShieldFlux NR-232","E71T-8-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr232_fcaws"
"Innershield® NR®-232-H","Metallo ShieldFlux NR-232-H","E71T-8-H8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr232h_fcaws"
"Innershield® NR®-233","Metallo ShieldFlux NR-233","E71T-8-H8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr233_fcaws"
"Innershield® NR®-211-MP","Metallo ShieldFlux NR-211-MP","E71T-11","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr211mp_fcaws"
"Innershield® NR®-212","Metallo ShieldFlux NR-212","E71TG-G-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr212_fcaws"
"Innershield® NR®-555","Metallo ShieldFlux NR-555","E81T8-G","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr555_fcaws"
"Innershield® NR®-203MP","Metallo ShieldFlux NR-203MP","E71T-8-JH8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr203mp_fcaws"
"Innershield® NR®-203 Nickel (1%)","Metallo ShieldFlux NR-203 Nickel (1%)","E71T8-Ni1-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr203nickel1_fcaws"
"Innershield® NR®-440Ni2","Metallo ShieldFlux NR-440Ni2","E71T8-Ni2-JH8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr440ni2_fcaws"
"Innershield® NR®-305","Metallo ShieldFlux NR-305","E70T-6-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr305_fcaws"
"Innershield® NR®-311","Metallo ShieldFlux NR-311","E70T-7","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr311_fcaws"
"Innershield® NR®-311 Ni","Metallo ShieldFlux NR-311 Ni","E70T7-K2-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr311ni_fcaws"
"Innershield® NS-3M","Metallo ShieldFlux NS-3M","E70T-4","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldns3m_fcaws"
"Innershield® NR®-5","Metallo ShieldFlux NR-5","E70T-3","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr5_fcaws"
"Innershield® NR®-131","Metallo ShieldFlux NR-131","E70T-10","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr131_fcaws"
"Pipeliner® Autoshield™ HW","Metallo ShieldFlux Autoshield HW","E91T8-A2-K12-H8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/pipelinerautoshieldhw_fcaws"
"Pipeliner® NR®-207+","Metallo ShieldFlux NR-207+","E71T8-K6","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/pipelinernr207plus_fcaws"
"Pipeliner® NR®-208-P","Metallo ShieldFlux NR-208-P","E81T8-G","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/pipelinernr208p_fcaws"
"Pipeliner® NR®-208-XP","Metallo ShieldFlux NR-208-XP","E81T8-G","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/pipelinernr208xp_fcaws"
"Innershield® NR®-208-H","Metallo ShieldFlux NR-208-H","E91T8-G-H8","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr208h_fcaws"
"Innershield® NR®-207","Metallo ShieldFlux NR-207","E71T8-K6-H16","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr207_fcaws"
"Innershield® NR®-152","Metallo ShieldFlux NR-152","E71T-14","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/innershieldnr152_fcaws"
"Lincore® T & D","Metallo ShieldFlux T & D","","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/lincoretd_fcaws"
"Lincore® Super Rail™","Metallo ShieldFlux Super Rail","","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/lincoresuperrail_fcaws"
"Lincore® M","Metallo ShieldFlux M","","Self-Shielded Flux-Cored","https://www.lincolnelectric.com/en/Products/lincorem_fcaws"
"UltraCore® HD-C","Metallo GasFlux HD-C","E71T-9C-H8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracorehdc_fcawg"
"UltraCore® 71A85","Metallo GasFlux 71A85","E71T-9M-H8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore71a85_fcawg"
"UltraCore® 71A75 Dual","Metallo GasFlux 71A75 Dual","E71T-9C-H8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore71a75dual_fcawg"
"UltraCore® 360® M71","Metallo GasFlux 360 M71","E71T-1M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore360m71_fcawg"
"UltraCore® 360® C71","Metallo GasFlux 360 C71","E71T-1C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore360c71_fcawg"
"UltraCore® HD Marine","Metallo GasFlux HD Marine","E71T-9C-H8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracorehdmarine_fcawg"
"UltraCore® HD-M","Metallo GasFlux HD-M","E71T-9M-H8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracorehdm_fcawg"
"UltraCore® HD-12M","Metallo GasFlux HD-12M","E71T-12M-JH8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracorehd12m_fcawg"
"UltraCore® HD-12C","Metallo GasFlux HD-12C","E71T-12C-JH8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracorehd12c_fcawg"
"UltraCore® 712A80","Metallo GasFlux 712A80","E71T-12M-JH8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore712a80_fcawg"
"UltraCore® 712C","Metallo GasFlux 712C","E71T-12C-JH8","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore712c_fcawg"
"UltraCore® 712A80-H Plus","Metallo GasFlux 712A80-H Plus","E71T-12M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore712a80hplus_fcawg"
"UltraCore® 712C-H Plus","Metallo GasFlux 712C-H Plus","E71T-12C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore712chplus_fcawg"
"Lincore® BU-G","Metallo GasFlux BU-G","","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/lincorebug_fcawg"
"UltraCore® 81Ni1M-H Plus","Metallo GasFlux 81Ni1M-H Plus","E81T1-Ni1M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore81ni1mhplus_fcawg"
"UltraCore® 81Ni1C-H Plus","Metallo GasFlux 81Ni1C-H Plus","E81T1-Ni1C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore81ni1chplus_fcawg"
"UltraCore® 81K2M-H Plus","Metallo GasFlux 81K2M-H Plus","E81T1-K2M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore81k2mhplus_fcawg"
"Cormet™ 1","Metallo GasFlux 1","E81T1-B2C/M-H4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/cormet1_fcawg"
"UltraCore® 81K2C-H Plus","Metallo GasFlux 81K2C-H Plus","E81T1-K2C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore81k2chplus_fcawg"
"UltraCore® 91K2M-H Plus","Metallo GasFlux 91K2M-H Plus","E91T1-K2M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore91k2mhplus_fcawg"
"UltraCore® 91K2C-H Plus","Metallo GasFlux 91K2C-H Plus","E91T1-K2C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore91k2chplus_fcawg"
"UltraCore® 101K3M-H Plus","Metallo GasFlux 101K3M-H Plus","E101T1-K3M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore101k3mhplus_fcawg"
"UltraCore® 111K3M-H Plus","Metallo GasFlux 111K3M-H Plus","E111T1-K3M-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore111k3mhplus_fcawg"
"UltraCore® 111K3C-H Plus","Metallo GasFlux 111K3C-H Plus","E111T1-K3C-JH4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore111k3chplus_fcawg"
"UltraCore® 121K3M-H Plus","Metallo GasFlux 121K3M-H Plus","E121T1-GM-H4","Gas Shielded Flux Cored","https://www.lincolnelectric.com/en/Products/ultracore121k3mhplus_fcawg"
"Lincolnweld® L-61®","Metallo SubArc L-61","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldl61_saw"
"Lincolnweld® L-54™","Metallo SubArc L-54","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldl54_saw"
"Lincolnweld® 761®","Metallo SubArc 761","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld761_saw"
"Lincolnweld® 880M®","Metallo SubArc 880M","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld880m_saw"
"Lincolnweld® 842-H®","Metallo SubArc 842-H","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld842h_saw"
"Lincolnweld® WTX®","Metallo SubArc WTX","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldwtx_saw"
"Lincolnweld® 781™","Metallo SubArc 781","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld781_saw"
"Lincolnweld® 860®","Metallo SubArc 860","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld860_saw"
"Lincolnweld® 888®","Metallo SubArc 888","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld888_saw"
"Lincolnweld® MIL800-H®","Metallo SubArc MIL800-H","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldmil800h_saw"
"Lincolnweld® 960®","Metallo SubArc 960","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld960_saw"
"Lincolnweld® D18","Metallo SubArc D18","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldd18_saw"
"Lincolnweld® 780®","Metallo SubArc 780","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld780_saw"
"Lincolnweld® 880™","Metallo SubArc 880","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld880_saw"
"Lincolnweld® 8500®","Metallo SubArc 8500","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld8500_saw"
"Lincolnweld® 995N®","Metallo SubArc 995N","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld995n_saw"
"Lincolnweld® 761®-Pipe","Metallo SubArc 761-Pipe","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld761pipe_saw"
"Lincolnweld® 882®","Metallo SubArc 882","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld882_saw"
"Lincolnweld® 812-SRC®","Metallo SubArc 812-SRC","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld812src_saw"
"Lincolnweld® SPX80®","Metallo SubArc SPX80","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldspx80_saw"
"Lincolnweld® P223®","Metallo SubArc P223","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldp223_saw"
"Lincolnweld® MIL800-H®PNi","Metallo SubArc MIL800-HPNi","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldmil800hpni_saw"
"Lincolnweld® AK-10®","Metallo SubArc AK-10","ER100S-G","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweldak10_saw"
"Lincolnweld® 980®","Metallo SubArc 980","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lincolnweld980_saw"
"LNS 133TB","Metallo SubArc LNS 133TB","","Submerged Arc","https://www.lincolnelectric.com/en/Products/lns133tb_saw"
"Lincoln® ER308/308H","Metallo Inox ER308/308H","ER308H","Stainless Alloys","https://www.lincolnelectric.com/en/Products/lincolner308308h_gtaw"
"Blue Max® 2209","Metallo Inox 2209","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig2209_gmaw"
"Blue Max® 2594","Metallo Inox 2594","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig2594_gmaw"
"Blue Max® 307_MOD","Metallo Inox 307_MOD","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig307mod_gmaw"
"Blue Max® 308H","Metallo Inox 308H","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig308h_gmaw"
"Blue Max® 308L","Metallo Inox 308L","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig308l_gmaw"
"Blue Max® 308LCF","Metallo Inox 308LCF","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig308lcf_gmaw"
"Blue Max® 308L N","Metallo Inox 308L N","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig308ln_gmaw"
"Blue Max® 308LSi","Metallo Inox 308LSi","ER308LSi","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig308lsi_gmaw"
"Blue Max® 309L","Metallo Inox 309L","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig309l_gmaw"
"Blue Max® 309LMo_MOD","Metallo Inox 309LMo_MOD","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig309lmomod_gmaw"
"Blue Max® 309L N","Metallo Inox 309L N","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig309ln_gmaw"
"Blue Max® 309LSi","Metallo Inox 309LSi","ER309LSi","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig309lsi_gmaw"
"Blue Max® 310","Metallo Inox 310","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig310_gmaw"
"Blue Max® 312","Metallo Inox 312","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig312_gmaw"
"Blue Max® 316L","Metallo Inox 316L","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig316l_gmaw"
"Blue Max® 316LCF","Metallo Inox 316LCF","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig316lcf_gmaw"
"Blue Max® 316LSi","Metallo Inox 316LSi","ER316LSi","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig316lsi_gmaw"
"Blue Max® 317L","Metallo Inox 317L","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig317l_gmaw"
"Blue Max® 320LR","Metallo Inox 320LR","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig320lr_gmaw"
"Blue Max® 330","Metallo Inox 330","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig330_gmaw"
"Blue Max® 347","Metallo Inox 347","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig347_gmaw"
"Blue Max® 385","Metallo Inox 385","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig385_gmaw"
"Blue Max® 409Nb","Metallo Inox 409Nb","","Stainless Alloys","https://www.lincolnelectric.com/en/Products/bluemaxmig409nb_gmaw"
